date,permno,prc,ret,vol,shrout,bid,ask,cfacpr,cfacshr,ticker,prc_abs,prc_adj,shrout_adj,market_cap_adj,spread
2020-01-02,10107,160.62,0.018516,22610236.0,7611000.0,160.7,160.73,1.0,1.0,AVGO,160.62,160.62,7611000.0,1222478820.0,0.030000000000001137
2020-01-03,10107,158.62,-0.012452,21099013.0,7611000.0,158.59,158.60001,1.0,1.0,AVGO,158.62,158.62,7611000.0,1207256820.0,0.01000999999999408
2020-01-06,10107,159.03,0.002585,21156101.0,7611000.0,159.02,159.03,1.0,1.0,AVGO,159.03,159.03,7611000.0,1210377330.0,0.009999999999990905
2020-01-07,10107,157.58,-0.009118,21844325.0,7611000.0,157.57001,157.59,1.0,1.0,AVGO,157.58,157.58,7611000.0,1199341380.0,0.019990000000007058
2020-01-08,10107,160.09,0.015928,27722052.0,7611000.0,160.13,160.14,1.0,1.0,AVGO,160.09,160.09,7611000.0,1218444990.0,0.009999999999990905
2020-01-09,10107,162.09,0.012493,21375474.0,7611000.0,162.08,162.11,1.0,1.0,AVGO,162.09,162.09,7611000.0,1233666990.0,0.030000000000001137
2020-01-10,10107,161.34,-0.004627,20709064.0,7611000.0,161.3,161.33,1.0,1.0,AVGO,161.34,161.34,7611000.0,1227958740.0,0.030000000000001137
2020-01-13,10107,163.28,0.012024,21611045.0,7611000.0,163.28,163.28999,1.0,1.0,AVGO,163.28,163.28,7611000.0,1242724080.0,0.009989999999987731
2020-01-14,10107,162.13,-0.007043,23469298.0,7611000.0,162.14,162.14999,1.0,1.0,AVGO,162.13,162.13,7611000.0,1233971430.0,0.009990000000016153
2020-01-15,10107,163.17999,0.006476,21377516.0,7611000.0,163.28,163.28999,1.0,1.0,AVGO,163.17999,163.17999,7611000.0,1241962903.89,0.009989999999987731
2020-01-16,10107,166.17,0.018323,23832244.0,7611000.0,166.2,166.21001,1.0,1.0,AVGO,166.17,166.17,7611000.0,1264719870.0,0.010010000000022501
2020-01-17,10107,167.10001,0.005597,34329131.0,7611000.0,167.00999,167.06,1.0,1.0,AVGO,167.10001,167.10001,7611000.0,1271798176.11,0.05001000000001454
2020-01-21,10107,166.5,-0.003591,29508859.0,7611000.0,166.49001,166.52,1.0,1.0,AVGO,166.5,166.5,7611000.0,1267231500.0,0.029989999999997963
2020-01-22,10107,165.7,-0.004805,24078931.0,7611000.0,165.67999,165.7,1.0,1.0,AVGO,165.7,165.7,7611000.0,1261142700.0,0.020009999999984984
2020-01-23,10107,166.72,0.006156,19641745.0,7611000.0,166.72,166.73,1.0,1.0,AVGO,166.72,166.72,7611000.0,1268905920.0,0.009999999999990905
2020-01-24,10107,165.03999,-0.010077,24874100.0,7606047.0,165.02,165.03999,1.0,1.0,AVGO,165.03999,165.03999,7606047.0,1255301920.81953,0.019989999999978636
2020-01-27,10107,162.28,-0.016723,32041875.0,7606047.0,162.25999,162.27,1.0,1.0,AVGO,162.28,162.28,7606047.0,1234309307.16,0.010010000000022501
2020-01-28,10107,165.46001,0.019596,24869337.0,7606047.0,165.46001,165.47,1.0,1.0,AVGO,165.46001,165.46001,7606047.0,1258496612.68047,0.009989999999987731
2020-01-29,10107,168.03999,0.015593,35087464.0,7606047.0,168.17999,168.19,1.0,1.0,AVGO,168.03999,168.03999,7606047.0,1278120061.81953,0.01000999999999408
2020-01-30,10107,172.78,0.028208,51495353.0,7606047.0,172.73,172.75,1.0,1.0,AVGO,172.78,172.78,7606047.0,1314172800.66,0.020000000000010232
2020-01-31,10107,170.23,-0.014759,36101415.0,7606047.0,170.17,170.2,1.0,1.0,AVGO,170.23,170.23,7606047.0,1294777380.81,0.030000000000001137
2020-02-03,10107,174.38,0.024379,30077416.0,7606047.0,174.38,174.39,1.0,1.0,AVGO,174.38,174.38,7606047.0,1326342475.86,0.009999999999990905
2020-02-04,10107,180.12,0.032917,36366707.0,7606047.0,180.12,180.14,1.0,1.0,AVGO,180.12,180.12,7606047.0,1370001185.64,0.01999999999998181
2020-02-05,10107,179.89999,-0.001221,39122301.0,7606047.0,179.92,179.94,1.0,1.0,AVGO,179.89999,179.89999,7606047.0,1368327779.23953,0.020000000000010232
2020-02-06,10107,183.63,0.020734,27718679.0,7606047.0,183.63,183.64,1.0,1.0,AVGO,183.63,183.63,7606047.0,1396698410.61,0.009999999999990905
2020-02-07,10107,183.89,0.001416,33491903.0,7606047.0,183.91,183.94,1.0,1.0,AVGO,183.89,183.89,7606047.0,1398675982.83,0.030000000000001137
2020-02-10,10107,188.7,0.026157,35823223.0,7606047.0,188.71001,188.75,1.0,1.0,AVGO,188.7,188.7,7606047.0,1435261068.8999999,0.03998999999998887
2020-02-11,10107,184.44,-0.022576,53086959.0,7606047.0,184.42999,184.44,1.0,1.0,AVGO,184.44,184.44,7606047.0,1402859308.68,0.01000999999999408
2020-02-12,10107,184.71001,0.001464,47026738.0,7606047.0,184.71001,184.72,1.0,1.0,AVGO,184.71001,184.71001,7606047.0,1404913017.43047,0.009989999999987731
2020-02-13,10107,183.71001,-0.005414,35263271.0,7606047.0,183.72,183.75999,1.0,1.0,AVGO,183.71001,183.71001,7606047.0,1397306970.43047,0.03998999999998887
2020-02-14,10107,185.35001,0.008927,23124599.0,7606047.0,185.33,185.35001,1.0,1.0,AVGO,185.35001,185.35001,7606047.0,1409780887.51047,0.020009999999984984
2020-02-18,10107,187.23,0.010143,27833158.0,7606047.0,187.22,187.24001,1.0,1.0,AVGO,187.23,187.23,7606047.0,1424080179.81,0.020010000000013406
2020-02-19,10107,187.28,0.002991,29968628.0,7606047.0,187.27,187.28999,1.0,1.0,AVGO,187.28,187.28,7606047.0,1424460482.16,0.019989999999978636
2020-02-20,10107,184.42,-0.015271,36811424.0,7606047.0,184.32001,184.34,1.0,1.0,AVGO,184.42,184.42,7606047.0,1402707187.74,0.019990000000007058
2020-02-21,10107,178.59,-0.031613,48572701.0,7606047.0,178.55,178.56,1.0,1.0,AVGO,178.59,178.59,7606047.0,1358363933.73,0.009999999999990905
2020-02-24,10107,170.89,-0.043116,68142304.0,7606047.0,170.88,170.89,1.0,1.0,AVGO,170.89,170.89,7606047.0,1299797371.83,0.009999999999990905
2020-02-25,10107,168.07001,-0.016502,68012224.0,7606047.0,168.05,168.06,1.0,1.0,AVGO,168.07001,168.07001,7606047.0,1278348395.35047,0.009999999999990905
2020-02-26,10107,170.17,0.012495,56308439.0,7606047.0,170.16,170.17,1.0,1.0,AVGO,170.17,170.17,7606047.0,1294321017.99,0.009999999999990905
2020-02-27,10107,158.17999,-0.070459,93030512.0,7606047.0,158.0,158.02,1.0,1.0,AVGO,158.17999,158.17999,7606047.0,1203124438.39953,0.020000000000010232
2020-02-28,10107,162.00999,0.024213,96814677.0,7606047.0,162.11,162.12,1.0,1.0,AVGO,162.00999,162.00999,7606047.0,1232255598.40953,0.009999999999990905
2020-03-02,10107,172.78999,0.066539,70979337.0,7606047.0,172.8,172.85001,1.0,1.0,AVGO,172.78999,172.78999,7606047.0,1314248785.06953,0.05000999999998612
2020-03-03,10107,164.50999,-0.047919,71458328.0,7606047.0,164.3,164.38,1.0,1.0,AVGO,164.50999,164.50999,7606047.0,1251270715.90953,0.07999999999998408
2020-03-04,10107,170.55,0.036715,49735336.0,7606047.0,170.53,170.55,1.0,1.0,AVGO,170.55,170.55,7606047.0,1297211315.8500001,0.020000000000010232
2020-03-05,10107,166.27,-0.025095,47759594.0,7606047.0,166.23,166.24001,1.0,1.0,AVGO,166.27,166.27,7606047.0,1264657434.69,0.010010000000022501
2020-03-06,10107,161.57001,-0.028267,72713204.0,7606047.0,161.53999,161.57001,1.0,1.0,AVGO,161.57001,161.57001,7606047.0,1228909089.85047,0.030020000000007485
2020-03-09,10107,150.62,-0.067773,70262314.0,7606047.0,150.62,150.63,1.0,1.0,AVGO,150.62,150.62,7606047.0,1145622799.14,0.009999999999990905
2020-03-10,10107,160.92,0.068384,65249786.0,7606047.0,161.02,161.03,1.0,1.0,AVGO,160.92,160.92,7606047.0,1223965083.24,0.009999999999990905
2020-03-11,10107,153.63,-0.045302,56426518.0,7606047.0,153.53999,153.59,1.0,1.0,AVGO,153.63,153.63,7606047.0,1168517000.61,0.05001000000001454
2020-03-12,10107,139.06,-0.094838,92960899.0,7606047.0,138.75999,138.8,1.0,1.0,AVGO,139.06,139.06,7606047.0,1057696895.82,0.04001000000002364
2020-03-13,10107,158.83,0.142169,92570163.0,7606047.0,158.84,158.85001,1.0,1.0,AVGO,158.83,158.83,7606047.0,1208068445.01,0.01000999999999408
2020-03-16,10107,135.42,-0.14739,87972476.0,7606047.0,135.41,135.42,1.0,1.0,AVGO,135.42,135.42,7606047.0,1030010884.7399999,0.009999999999990905
2020-03-17,10107,146.57001,0.082337,80867746.0,7606047.0,146.56,146.57001,1.0,1.0,AVGO,146.57001,146.57001,7606047.0,1114818384.85047,0.01000999999999408
2020-03-18,10107,140.39999,-0.042096,81351878.0,7606047.0,142.13,142.34,1.0,1.0,AVGO,140.39999,140.39999,7606047.0,1067888922.73953,0.21000000000000796
2020-03-19,10107,142.71001,0.016453,85728135.0,7606047.0,142.63,142.67,1.0,1.0,AVGO,142.71001,142.71001,7606047.0,1085459043.43047,0.03999999999999204
2020-03-20,10107,137.35001,-0.037559,84716514.0,7606047.0,136.75999,136.77,1.0,1.0,AVGO,137.35001,137.35001,7606047.0,1044690631.51047,0.010010000000022501
2020-03-23,10107,135.98,-0.009975,78846991.0,7606047.0,135.56,135.69,1.0,1.0,AVGO,135.98,135.98,7606047.0,1034270271.06,0.12999999999999545
2020-03-24,10107,148.34,0.090896,82440595.0,7606047.0,148.33,148.34,1.0,1.0,AVGO,148.34,148.34,7606047.0,1128281011.98,0.009999999999990905
2020-03-25,10107,146.92,-0.009573,75533960.0,7606047.0,146.85001,146.92,1.0,1.0,AVGO,146.92,146.92,7606047.0,1117480425.24,0.06998999999999
2020-03-26,10107,156.11,0.062551,64593741.0,7606047.0,156.11,156.13,1.0,1.0,AVGO,156.11,156.11,7606047.0,1187379997.17,0.01999999999998181
2020-03-27,10107,149.7,-0.041061,56910295.0,7606047.0,149.61,149.67999,1.0,1.0,AVGO,149.7,149.7,7606047.0,1138625235.8999999,0.06998999999999
2020-03-30,10107,160.23,0.070341,63327880.0,7606047.0,160.3,160.32001,1.0,1.0,AVGO,160.23,160.23,7606047.0,1218716910.81,0.020009999999984984
2020-03-31,10107,157.71001,-0.015727,77841150.0,7590000.0,157.64,157.7,1.0,1.0,AVGO,157.71001,157.71001,7590000.0,1197018975.9,0.060000000000002274
2020-04-01,10107,152.11,-0.035508,57854489.0,7590000.0,151.94,152.03,1.0,1.0,AVGO,152.11,152.11,7590000.0,1154514900.0,0.09000000000000341
2020-04-02,10107,155.25999,0.020709,49535029.0,7590000.0,155.25,155.25999,1.0,1.0,AVGO,155.25999,155.25999,7590000.0,1178423324.1,0.009989999999987731
2020-04-03,10107,153.83,-0.00921,41181670.0,7590000.0,153.82001,153.89999,1.0,1.0,AVGO,153.83,153.83,7590000.0,1167569700.0,0.07998000000000616
2020-04-06,10107,165.27,0.074368,67063846.0,7590000.0,165.25999,165.27,1.0,1.0,AVGO,165.27,165.27,7590000.0,1254399300.0,0.010010000000022501
2020-04-07,10107,163.49001,-0.01077,62700440.0,7590000.0,163.48,163.49001,1.0,1.0,AVGO,163.49001,163.49001,7590000.0,1240889175.9,0.010010000000022501
2020-04-08,10107,165.13,0.010031,48284431.0,7590000.0,165.10001,165.13,1.0,1.0,AVGO,165.13,165.13,7590000.0,1253336700.0,0.029989999999997963
2020-04-09,10107,165.14,6.1e-05,51391046.0,7590000.0,165.19,165.21001,1.0,1.0,AVGO,165.14,165.14,7590000.0,1253412600.0,0.020010000000013406
2020-04-13,10107,165.50999,0.00224,41867295.0,7590000.0,165.5,165.50999,1.0,1.0,AVGO,165.50999,165.50999,7590000.0,1256220824.1,0.009989999999987731
2020-04-14,10107,173.7,0.049483,52817438.0,7590000.0,173.7,173.71001,1.0,1.0,AVGO,173.7,173.7,7590000.0,1318383000.0,0.010010000000022501
2020-04-15,10107,171.88,-0.010478,40916515.0,7590000.0,171.87,171.95,1.0,1.0,AVGO,171.88,171.88,7590000.0,1304569200.0,0.07999999999998408
2020-04-16,10107,177.03999,0.030021,50429569.0,7590000.0,177.03999,177.08,1.0,1.0,AVGO,177.03999,177.03999,7590000.0,1343733524.1,0.04001000000002364
2020-04-17,10107,178.60001,0.008812,52713774.0,7590000.0,178.55,178.69,1.0,1.0,AVGO,178.60001,178.60001,7590000.0,1355574075.9,0.13999999999998636
2020-04-20,10107,175.06,-0.019821,36632652.0,7590000.0,174.99001,175.03999,1.0,1.0,AVGO,175.06,175.06,7590000.0,1328705400.0,0.0499799999999766
2020-04-21,10107,167.82001,-0.041357,56128421.0,7590000.0,167.67,167.67999,1.0,1.0,AVGO,167.82001,167.82001,7590000.0,1273753875.8999999,0.009990000000016153
2020-04-22,10107,173.52,0.033965,34621296.0,7590000.0,173.49001,173.52,1.0,1.0,AVGO,173.52,173.52,7590000.0,1317016800.0,0.029989999999997963
2020-04-23,10107,171.42,-0.012102,32753021.0,7590000.0,171.35001,171.42,1.0,1.0,AVGO,171.42,171.42,7590000.0,1301077800.0,0.06998999999999
2020-04-24,10107,174.55,0.018259,34266477.0,7583440.0,174.53,174.53999,1.0,1.0,AVGO,174.55,174.55,7583440.0,1323689452.0,0.009989999999987731
2020-04-27,10107,174.05,-0.002865,33145793.0,7583440.0,174.03,174.05,1.0,1.0,AVGO,174.05,174.05,7583440.0,1319897732.0,0.020000000000010232
2020-04-28,10107,169.81,-0.024361,34340821.0,7583440.0,169.78999,169.8,1.0,1.0,AVGO,169.81,169.81,7583440.0,1287743946.4,0.010010000000022501
2020-04-29,10107,177.42999,0.044874,52222848.0,7583440.0,177.12,177.28999,1.0,1.0,AVGO,177.42999,177.42999,7583440.0,1345529683.3656,0.16998999999998432
2020-04-30,10107,179.21001,0.010032,53775911.0,7583440.0,179.19,179.22,1.0,1.0,AVGO,179.21001,179.21001,7583440.0,1359028358.2344,0.030000000000001137
2020-05-01,10107,174.57001,-0.025891,39312957.0,7583440.0,174.5,174.78,1.0,1.0,AVGO,174.57001,174.57001,7583440.0,1323841196.6344,0.28000000000000114
2020-05-04,10107,178.84,0.02446,30347520.0,7583440.0,178.83,178.85001,1.0,1.0,AVGO,178.84,178.84,7583440.0,1356222409.6000001,0.020009999999984984
2020-05-05,10107,180.75999,0.010736,36795529.0,7583440.0,180.75999,180.77,1.0,1.0,AVGO,180.75999,180.75999,7583440.0,1370782538.5656,0.010010000000022501
2020-05-06,10107,182.53999,0.009847,32105100.0,7583440.0,182.48,182.53999,1.0,1.0,AVGO,182.53999,182.53999,7583440.0,1384281061.7656,0.0599899999999991
2020-05-07,10107,183.60001,0.005807,28300662.0,7583440.0,183.60001,183.67,1.0,1.0,AVGO,183.60001,183.60001,7583440.0,1392319659.8344,0.06998999999999
2020-05-08,10107,184.67999,0.005882,30890556.0,7583440.0,184.67999,184.74001,1.0,1.0,AVGO,184.67999,184.67999,7583440.0,1400509623.3656,0.06002000000000862
2020-05-11,10107,186.74001,0.011155,30868168.0,7583440.0,186.64,186.72,1.0,1.0,AVGO,186.74001,186.74001,7583440.0,1416131661.4344,0.0800000000000125
