date,permno,prc,ret,vol,shrout,bid,ask,ticker,market_cap,spread
2020-01-02,10107,160.62,0.018516,22610236.0,7611000.0,160.7,160.73,AVGO,1222478820.0,0.030000000000001137
2020-01-03,10107,158.62,-0.012452,21099013.0,7611000.0,158.59,158.60001,AVGO,1207256820.0,0.01000999999999408
2020-01-06,10107,159.03,0.002585,21156101.0,7611000.0,159.02,159.03,AVGO,1210377330.0,0.009999999999990905
2020-01-07,10107,157.58,-0.009118,21844325.0,7611000.0,157.57001,157.59,AVGO,1199341380.0,0.019990000000007058
2020-01-08,10107,160.09,0.015928,27722052.0,7611000.0,160.13,160.14,AVGO,1218444990.0,0.009999999999990905
2020-01-09,10107,162.09,0.012493,21375474.0,7611000.0,162.08,162.11,AVGO,1233666990.0,0.030000000000001137
2020-01-10,10107,161.34,-0.004627,20709064.0,7611000.0,161.3,161.33,AVGO,1227958740.0,0.030000000000001137
2020-01-13,10107,163.28,0.012024,21611045.0,7611000.0,163.28,163.28999,AVGO,1242724080.0,0.009989999999987731
2020-01-14,10107,162.13,-0.007043,23469298.0,7611000.0,162.14,162.14999,AVGO,1233971430.0,0.009990000000016153
2020-01-15,10107,163.17999,0.006476,21377516.0,7611000.0,163.28,163.28999,AVGO,1241962903.89,0.009989999999987731
2020-01-16,10107,166.17,0.018323,23832244.0,7611000.0,166.2,166.21001,AVGO,1264719870.0,0.010010000000022501
2020-01-17,10107,167.10001,0.005597,34329131.0,7611000.0,167.00999,167.06,AVGO,1271798176.11,0.05001000000001454
2020-01-21,10107,166.5,-0.003591,29508859.0,7611000.0,166.49001,166.52,AVGO,1267231500.0,0.029989999999997963
2020-01-22,10107,165.7,-0.004805,24078931.0,7611000.0,165.67999,165.7,AVGO,1261142700.0,0.020009999999984984
2020-01-23,10107,166.72,0.006156,19641745.0,7611000.0,166.72,166.73,AVGO,1268905920.0,0.009999999999990905
2020-01-24,10107,165.03999,-0.010077,24874100.0,7606047.0,165.02,165.03999,AVGO,1255301920.81953,0.019989999999978636
2020-01-27,10107,162.28,-0.016723,32041875.0,7606047.0,162.25999,162.27,AVGO,1234309307.16,0.010010000000022501
2020-01-28,10107,165.46001,0.019596,24869337.0,7606047.0,165.46001,165.47,AVGO,1258496612.68047,0.009989999999987731
2020-01-29,10107,168.03999,0.015593,35087464.0,7606047.0,168.17999,168.19,AVGO,1278120061.81953,0.01000999999999408
2020-01-30,10107,172.78,0.028208,51495353.0,7606047.0,172.73,172.75,AVGO,1314172800.66,0.020000000000010232
2020-01-31,10107,170.23,-0.014759,36101415.0,7606047.0,170.17,170.2,AVGO,1294777380.81,0.030000000000001137
2020-02-03,10107,174.38,0.024379,30077416.0,7606047.0,174.38,174.39,AVGO,1326342475.86,0.009999999999990905
2020-02-04,10107,180.12,0.032917,36366707.0,7606047.0,180.12,180.14,AVGO,1370001185.64,0.01999999999998181
2020-02-05,10107,179.89999,-0.001221,39122301.0,7606047.0,179.92,179.94,AVGO,1368327779.23953,0.020000000000010232
2020-02-06,10107,183.63,0.020734,27718679.0,7606047.0,183.63,183.64,AVGO,1396698410.61,0.009999999999990905
2020-02-07,10107,183.89,0.001416,33491903.0,7606047.0,183.91,183.94,AVGO,1398675982.83,0.030000000000001137
2020-02-10,10107,188.7,0.026157,35823223.0,7606047.0,188.71001,188.75,AVGO,1435261068.8999999,0.03998999999998887
2020-02-11,10107,184.44,-0.022576,53086959.0,7606047.0,184.42999,184.44,AVGO,1402859308.68,0.01000999999999408
2020-02-12,10107,184.71001,0.001464,47026738.0,7606047.0,184.71001,184.72,AVGO,1404913017.43047,0.009989999999987731
2020-02-13,10107,183.71001,-0.005414,35263271.0,7606047.0,183.72,183.75999,AVGO,1397306970.43047,0.03998999999998887
2020-02-14,10107,185.35001,0.008927,23124599.0,7606047.0,185.33,185.35001,AVGO,1409780887.51047,0.020009999999984984
2020-02-18,10107,187.23,0.010143,27833158.0,7606047.0,187.22,187.24001,AVGO,1424080179.81,0.020010000000013406
2020-02-19,10107,187.28,0.002991,29968628.0,7606047.0,187.27,187.28999,AVGO,1424460482.16,0.019989999999978636
